2020-10-01,8835
2020-10-02,9294
2020-10-03,9375
2020-10-04,10376
2020-10-05,10757
2020-10-06,11481
2020-10-07,10981
2020-10-08,11345
2020-10-09,11969
2020-10-10,12673
2020-10-11,13442
2020-10-12,13406
2020-10-13,13690
2020-10-14,14041
2020-10-15,13556
2020-10-16,14937
2020-10-17,14703
2020-10-18,14804
2020-10-19,15843
2020-10-20,16108
2020-10-21,15444
2020-10-22,15704
2020-10-23,17077
2020-10-24,16260
2020-10-25,16392
2020-10-26,17148
2020-10-27,16342
2020-10-28,15886
2020-10-29,17418
2020-10-30,17987
2020-10-31,17834
2020-11-01,18381
2020-11-02,18017
2020-11-03,18431
2020-11-04,19483
2020-11-05,19116
2020-11-06,20368
2020-11-07,20109
2020-11-08,20248
2020-11-09,21577
2020-11-10,20765
2020-11-11,19583
2020-11-12,21333
2020-11-13,21717
2020-11-14,22441
2020-11-15,22313
2020-11-16,22562
2020-11-17,22201
2020-11-18,20717
2020-11-19,23337
2020-11-20,24059
2020-11-21,24538
2020-11-22,24295
2020-11-23,24891
2020-11-24,24087
2020-11-25,23393
2020-11-26,25195
2020-11-27,27267
2020-11-28,26809
2020-11-29,26390
2020-11-30,26046
